,stock,from,to,from_w,to_w,cash,price
2016-04-28 14:51:45,SZ002539,1.05090206,1.3876,15.13,20.0,0.89027811,16.08
2016-04-28 14:23:42,SZ300307,0.0,1.0405,0.0,15.0,1.22827906,15.85
2016-04-28 14:20:28,SZ002553,0.69125095,1.0369,10.04,15.0,2.26875373,12.26
2016-04-28 14:12:35,SZ002539,0.0,1.0346,0.0,15.0,2.61154418,15.85
2016-04-28 14:03:59,SZ002553,0.0,0.6896,0.0,10.0,3.64612788,12.18
2016-04-28 09:49:10,SZ002059,0.0,0.6912,0.0,10.0,4.33568043,10.22
2016-04-27 14:06:03,SZ002539,1.04365546,0.0,14.78,0.0,5.02685616,16.03
2016-04-27 10:50:46,SZ300307,1.31653075,0.0,19.43,0.0,4.00550103,17.26
2016-04-27 09:43:59,SH600800,1.02199238,0.0,15.69,0.0,2.65853478,9.48
2016-04-26 14:10:53,SH600800,0.0,1.022,0.0,15.0,1.57723034,8.96
2016-04-26 13:35:47,SZ300307,0.0,1.2916,0.0,19.0,3.621215,16.55
2016-04-26 10:31:28,SZ002526,1.06306581,0.0,15.59,0.0,4.91277302,9.31
2016-04-26 10:30:53,SH600967,1.02553624,0.0,15.01,0.0,3.85312177,12.2
2016-04-26 10:26:52,SH600837,0.59892935,0.0,8.75,0.0,2.83260446,15.41
2016-04-26 10:10:43,SZ300090,1.04749142,0.0,15.39,0.0,2.23830302,9.2
2016-04-26 10:04:49,SH601166,0.66326012,0.0,9.79,0.0,1.19194894,16.16
2016-04-25 14:53:31,SZ002301,0.53077317,0.0,7.8,0.0,0.52538902,18.54
2016-04-25 14:08:16,SH600837,0.0,0.6036,0.0,8.92,9e-08,15.65
2016-04-25 11:05:53,SH600967,0.0,1.008,0.0,15.0,0.60355736,12.05
2016-04-25 10:48:00,SZ002526,0.0,1.0096,0.0,15.0,1.61152732,8.87
2016-04-25 10:18:34,SZ002495,1.4716227,0.0,22.9,0.0,2.62109839,7.0
2016-04-22 10:12:14,SZ002495,1.12701878,1.4716,17.0,22.0,1.07897879,6.68
2016-04-22 10:03:52,SH601166,0.0,0.667,0.0,10.0,1.41336803,16.17
2016-04-22 09:40:15,SZ002495,0.0,1.1372,0.0,17.0,2.08034042,6.68
2016-04-21 14:53:33,SH601601,0.94956687,0.0,14.33,0.0,3.21757388,27.7
2016-04-21 13:39:52,SZ002301,1.29770537,0.5381,19.18,8.0,0.75209061,18.99
2016-04-21 09:45:06,SZ300090,0.0,1.0748,0.0,15.96,1e-08,9.45
2016-04-20 14:59:33,SH600016,0.55038437,0.0,8.11,0.0,1.07478763,9.32
2016-04-20 14:56:28,SH600526,0.5126371,0.0,7.67,0.0,0.52262591,14.65
2016-04-20 13:56:44,SH601601,0.0,0.9177,0.0,13.67,6e-08,26.53
2016-04-20 13:11:32,SZ000721,0.0,1.4648,0.0,22.0,0.91774173,7.58
2016-04-20 10:39:22,SZ002526,0.54505226,0.0,7.92,0.0,2.38249729,9.53
2016-04-19 14:56:21,SZ002526,1.16657158,0.5451,17.16,8.0,1.8447801,9.66
2016-04-19 14:41:51,SZ300059,0.50656241,0.0,7.46,0.0,0.6321763,23.95
2016-04-19 13:38:24,SH600526,0.0,0.5455,0.0,8.0,0.12306301,15.29
2016-04-19 10:23:54,SZ002526,0.65645305,1.1484,9.75,17.0,0.6685203,9.49
2016-04-19 10:17:36,SZ002301,0.0,1.4193,0.0,21.0,1.15840501,20.89
